Product,Category,Features
﻿Olay Fresh Effects S’Wipe Out! Refreshing Make-Up Removal Cloths,cleansers,"['Silicone', 'Good for Dry Skin', 'Comedogenic Rating (2)', 'Silicone', 'Anti-Aging', 'Fungal Acne Trigger']"
ETUDE HOUSE Soon Jung pH6.5 Whip Cleanser ,cleansers,"['Promotes Wound Healing', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging', 'Good for Oily Skin']"
SKINFOOD Black Sugar Perfect Bubble Foam,cleansers,"['Bad for Oily Skin', 'Bad for Oily Skin', 'Fungal Acne Trigger', 'Bad for Sensitive Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Comedogenic Rating (2)', 'Fungal Acne Trigger', 'Good for Oily Skin']"
SKINFOOD Black Sugar Perfect Scrub Foam,cleansers,"['Fungal Acne Trigger', 'Bad for Sensitive Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging', 'Silicone', 'Anti-Aging', 'Bad for Dry Skin', 'Good for Oily Skin']"
Estee Lauder Verite LightLotion Cleanser,cleansers,"['Anti-Aging', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Good for Dry Skin', 'Silicone']"
Biore Skin Care Facial Foam Rich Moisture,cleansers,"['Fungal Acne Trigger', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Good for Dry Skin', 'Bad for Oily Skin', 'Fungal Acne Trigger', 'UV Protection']"
Clinique Pep-Start 2-in-1 Exfoliating Cleanser,cleansers,"['Brightening', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Acne-Fighting', 'Anti-Aging', 'Bad for Oily Skin', 'Fungal Acne Trigger']"
Simple Water Boost Facial Cleanser Gel Wash,cleansers,"['Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Bad for Oily Skin', 'Anti-Aging', 'Anti-Aging', 'Anti-Aging']"
ETUDE HOUSE Real Art Cleansing Oil (Perfect),cleansers,"['Fungal Acne Trigger', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Bad for Oily Skin', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Fungal Acne Trigger']"
Simple Kind To Skin Vital Vitamin Foaming Cleanser ,cleansers,"['Promotes Wound Healing', 'Brightening', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging', 'Good for Oily Skin']"
